instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_50_3.txt;50;3;0,800;0,100;22;158569,933395;3672766;19504;false
ap_50_3.txt;50;3;0,800;0,100;23;162582,773928;5000000;26320;false
ap_50_3.txt;50;3;0,800;0,100;24;158569,933395;4547431;24093;false
ap_50_3.txt;50;3;0,800;0,100;25;162582,773928;5000000;26485;false
ap_50_3.txt;50;3;0,800;0,100;26;158569,933395;264620;1382;false
ap_50_3.txt;50;3;0,800;0,100;27;158569,933395;205572;1082;false
ap_50_3.txt;50;3;0,800;0,100;28;158569,933395;511867;2783;false
ap_50_3.txt;50;3;0,800;0,100;29;158569,933395;168357;878;false
ap_50_3.txt;50;3;0,800;0,100;30;158569,933395;73217;383;false
ap_50_3.txt;50;3;1,000;0,010;1;158569,933395;16325;83;false
ap_50_3.txt;50;3;1,000;0,010;2;162582,773928;5000000;25976;false
ap_50_3.txt;50;3;1,000;0,010;3;166848,449266;5000000;25711;false
ap_50_3.txt;50;3;1,000;0,010;4;162582,773928;5000000;25881;false
ap_50_3.txt;50;3;1,000;0,010;5;166848,449266;5000000;25925;false
ap_50_3.txt;50;3;1,000;0,010;6;162582,773928;5000000;25805;false
ap_50_3.txt;50;3;1,000;0,010;7;166848,449266;5000000;26113;false
ap_50_3.txt;50;3;1,000;0,010;8;162582,773928;5000000;25774;false
ap_50_3.txt;50;3;1,000;0,010;9;162582,773928;5000000;26092;false
ap_50_3.txt;50;3;1,000;0,010;10;166848,449266;5000000;25750;false
ap_50_3.txt;50;3;1,000;0,010;11;166848,449266;5000000;25845;false
ap_50_3.txt;50;3;1,000;0,010;12;166848,449266;5000000;25876;false
ap_50_3.txt;50;3;1,000;0,010;13;166848,449266;5000000;25698;false
ap_50_3.txt;50;3;1,000;0,010;14;162582,773928;5000000;25833;false
ap_50_3.txt;50;3;1,000;0,010;15;166848,449266;5000000;25642;false
ap_50_3.txt;50;3;1,000;0,010;16;162906,926112;5000000;25841;false
ap_50_3.txt;50;3;1,000;0,010;17;162582,773928;5000000;26990;false
ap_50_3.txt;50;3;1,000;0,010;18;158569,933395;226358;1157;false
ap_50_3.txt;50;3;1,000;0,010;19;158569,933395;56551;288;false
ap_50_3.txt;50;3;1,000;0,010;20;166848,449266;5000000;25937;false
ap_50_3.txt;50;3;1,000;0,010;21;158569,933395;10989;60;false
ap_50_3.txt;50;3;1,000;0,010;22;158569,933395;275840;1410;false
ap_50_3.txt;50;3;1,000;0,010;23;158569,933395;19537;103;false
ap_50_3.txt;50;3;1,000;0,010;24;158569,933395;14610;80;false
ap_50_3.txt;50;3;1,000;0,010;25;162582,773928;5000000;25799;false
ap_50_3.txt;50;3;1,000;0,010;26;166848,449266;5000000;26038;false
ap_50_3.txt;50;3;1,000;0,010;27;162582,773928;5000000;25662;false
ap_50_3.txt;50;3;1,000;0,010;28;158569,933395;23804;124;false
ap_50_3.txt;50;3;1,000;0,010;29;166848,449266;5000000;25770;false
ap_50_3.txt;50;3;1,000;0,010;30;162582,773928;5000000;25972;false
ap_50_3.txt;50;3;1,000;0,050;1;162582,773928;5000000;26057;false
ap_50_3.txt;50;3;1,000;0,050;2;158569,933395;4478602;23477;false
ap_50_3.txt;50;3;1,000;0,050;3;162582,773928;5000000;25960;false
ap_50_3.txt;50;3;1,000;0,050;4;158569,933395;291451;1507;false
ap_50_3.txt;50;3;1,000;0,050;5;158569,933395;24351;136;false
ap_50_3.txt;50;3;1,000;0,050;6;166848,449266;5000000;26307;false
ap_50_3.txt;50;3;1,000;0,050;7;162582,773928;5000000;25987;false
ap_50_3.txt;50;3;1,000;0,050;8;162582,773928;5000000;26121;false
ap_50_3.txt;50;3;1,000;0,050;9;162582,773928;5000000;26252;false
ap_50_3.txt;50;3;1,000;0,050;10;166848,449266;5000000;25984;false
